구역,평형,계산단위,평균조망각,특A급,A급,B급,C급,D급,E급
2구역,25,328,13.47,0,0,0,5.79,15.85,78.35
2구역,32,256,12.38,0,0,0,11.72,3.91,84.38
2구역,37,64,0,0,0,0,0,0,100
2구역,41,440,70.14,24.09,7.5,18.18,22.5,22.27,5.45
2구역,"45,46",816,79.29,33.82,15.69,10.54,27.21,6.86,5.88
2구역,"51,52",706,72.48,26.35,5.67,13.6,35.41,6.52,12.46
2구역,"55,56",338,103.96,54.44,11.24,22.49,11.83,0,0
2구역,60,253,68.65,22.92,7.51,36.36,7.51,6.72,18.97
2구역,65,112,73.22,14.29,3.57,64.29,0.89,16.96,0
2구역,70,44,114.68,56.82,43.18,0,0,0,0
2구역,79,129,87.35,25.58,3.1,56.59,14.73,0,0
2구역,87,129,85.81,25.58,3.1,56.59,14.73,0,0
3구역,27,1064,45.08,11.65,0.85,11.09,15.79,35.43,25.19
3구역,38,242,51.83,2.48,9.5,5.79,49.59,32.64,0
3구역,42,195,47.8,2.05,4.1,16.41,35.38,42.05,0
3구역,50,336,81.92,33.04,1.49,21.73,32.44,11.31,0
3구역,58,599,129.19,65.44,18.53,9.68,6.34,0,0
3구역,67,1108,65.07,19.77,10.92,7.22,25.36,16.06,20.67
3구역,71,1402,91.56,43.94,8.63,8.92,15.98,15.83,6.7
3구역,82,268,61.51,28.36,0,0,2.61,10.07,58.96
3구역,91,126,162.39,100,0,0,0,0,0
3구역,103,82,153.23,76.83,23.17,0,0,0,0
4구역,25,258,59.23,29.07,1.16,10.08,15.89,18.99,24.81
4구역,34,64,31.63,0,0,0,35.94,64.06,0
4구역,40,467,67.98,28.91,8.14,13.92,22.48,8.57,17.99
4구역,43,181,87.54,29.28,14.36,0,34.25,22.1,0
4구역,47A,54,118.91,68.52,0,0,0,0,31.48
4구역,47B,224,110.38,59.82,0,8.48,21.88,9.82,0
4구역,52,32,29.25,0,0,0,0,100,0
4구역,60,145,109.47,64.14,0,0,14.48,21.38,0
4구역,63,64,34.23,0,0,0,35.94,64.06,0
4구역,67,143,83.75,23.08,34.97,2.1,39.86,0,0
4구역,72,32,34.13,0,0,0,3.13,96.88,0
4구역,77,32,39.22,0,0,0,37.5,62.5,0
5구역,25,341,60.62,13.78,7.92,22.29,25.51,11.44,19.06
5구역,31,357,69.49,29.41,13.73,0,16.81,17.37,22.69
5구역,35,295,98.6,38.31,16.61,15.59,13.9,15.59,0
5구역,41,191,111.3,50.26,29.84,10.47,9.42,0,0
5구역,51,166,67.25,45.78,1.2,11.45,12.05,0,29.52
5구역,61,155,143.8,74.19,13.55,12.26,0,0,0
5구역,71,19,170.16,100,0,0,0,0,0